age_months,tesla,miles25,miles50,miles75
102,0,38000,51059,61332
102,1,48451,63313,82146
103,0,39216.5,48984,58807.5
103,1,58434.5,69726,99569
104,0,41449,53548,68000
104,1,53695,74021,98323
105,0,40500.5,51485,60877.5
105,1,59353,76283,96573.5
106,0,44180.25,54604.5,65771.5
106,1,55036,76150,92935
107,0,41207,50136,62505
107,1,61419,74987,88919
108,0,42387,50892,61190.75
108,1,59255,76229.5,93187.25
