age_months,powertrain,vehicle_type,miles25,miles50,miles75
64,hybrid,car,46811,63479,83323.5
64,hybrid,suv,47944,64365,82236
64,phev,car,43605,57643,74536
65,bev,car,27253,37820.5,48544.25
65,bev,suv,32538,44644,56285.5
65,conventional,car,48500.25,65522,84553.5
65,conventional,pickup,51774.75,69661,90605
65,conventional,suv,51253,67749,85833.5
65,hybrid,car,48021.5,65000,84929
65,hybrid,suv,49984.75,65383,82431
65,phev,car,43111.5,59096,76169.25
66,bev,car,28136,37674,50127
66,bev,suv,33796,44500,57056
66,conventional,car,49070,66384,85419
66,conventional,pickup,52490,70671,91698
66,conventional,suv,52000,68789,87033
66,hybrid,car,49360,66966,86878
66,hybrid,suv,48836,65812,82141
66,phev,car,45071.5,59000.5,76066
67,bev,car,29526,39729,50039
67,bev,suv,33917,46492,58051
67,conventional,car,49621.5,67158,86307.5
67,conventional,pickup,53357,71318,92327
67,conventional,suv,53335.5,70054,88354.5
67,hybrid,car,49294.5,67597,87444.5
67,hybrid,suv,51000,66555,84528
67,phev,car,46355.5,59702,75980.75
68,bev,car,29755,39448,51099
68,bev,suv,36827,48252,66847
68,conventional,car,49993.5,67819,87405.5
68,conventional,pickup,54065.5,72532,93257
68,conventional,suv,53833.5,70831,89428
68,hybrid,car,50555,68482,88919.5
68,hybrid,suv,48732.25,65818.5,84584
68,phev,car,47256.5,62763,79024
69,bev,car,32000,41927,53627
69,bev,suv,36303.5,52265,62481
69,conventional,car,51014,68990,88363.5
69,conventional,pickup,54997.25,73697.5,94337.25
69,conventional,suv,54839,72040,90533
69,hybrid,car,51624,69184,89438
69,hybrid,suv,51370.5,71269.5,92798.5
69,phev,car,44299,60194,76386
70,bev,car,30050,40291,53552
70,bev,suv,40568,51660.5,67005.5
70,conventional,car,51531,69584.5,89288
70,conventional,pickup,55703.75,74738.5,95994.25
70,conventional,suv,55863,73047,91513
70,hybrid,car,51412,70964,90476.5
70,hybrid,suv,52160.5,68685.5,87975.5
70,phev,car,47735,64353,84577.5
71,bev,car,31690,42000,53443.5
71,bev,suv,36865.75,51656,63726.75
71,conventional,car,52120,70278,90164
71,conventional,pickup,56992,75728,96686
71,conventional,suv,56561,73921,92328
71,hybrid,car,50616,69510,89932
71,hybrid,suv,50430.25,68736,85200.25
71,phev,car,48006,62226,80189
72,bev,car,32184.5,42958,54215.5
72,bev,suv,37442.5,48200,67049
72,conventional,car,52999,71122,90915
72,conventional,pickup,57819.75,76645.5,98002.5
72,conventional,suv,57092.75,74751,93465.75
72,hybrid,car,53198,71371.5,91550.5
72,hybrid,suv,54913,72000,87846
72,phev,car,48609,62811.5,79421
73,bev,car,33331.5,43533,55602
73,bev,suv,38623.25,53805.5,66941.75
73,conventional,car,54004.5,72277,92081.5
73,conventional,pickup,58682,77800,99050.25
73,conventional,suv,58147.25,75737.5,94379.25
73,hybrid,car,53976.75,72482.5,92371.25
73,hybrid,suv,51901.25,71234.5,89015.5
73,phev,car,49193,65339,82428
74,bev,car,32322,42555,55347
74,bev,suv,38411.75,54478.5,67621.75
74,conventional,car,55559,74072.5,93974
74,conventional,pickup,59472.75,79003.5,99962.25
74,conventional,suv,59716,77599,95888
74,hybrid,car,54299,73843,94869
74,hybrid,suv,54419,71291,89010
74,phev,car,52016.25,66764.5,84337
75,bev,car,34390,44377,55978
75,bev,suv,39422,53441,67524
75,conventional,car,55751.25,74303.5,94386
75,conventional,pickup,60895,80628,101809.5
75,conventional,suv,60081,77900,96617
75,hybrid,car,54908,74049,94711
75,hybrid,suv,59026,73516,93146.5
75,phev,car,50260.5,67831.5,86001
76,bev,car,34013.5,44000,56288.5
76,bev,suv,49305.5,65200.5,74280
76,conventional,car,57033.5,75422,95526
76,conventional,pickup,61957.5,81571,103084.25
76,conventional,suv,60884,78688,97138
76,hybrid,car,56000,75709.5,96988.25
76,hybrid,suv,55825.5,73590,89545
76,phev,car,50950.5,68785,84282.75
77,bev,car,33819,45049,58570.5
77,bev,suv,39327,51724.5,63778.75
77,conventional,car,57554.25,76100,96280.5
77,conventional,pickup,62146,82002,103828
77,conventional,suv,61802,79639.5,98059
77,hybrid,car,57292,76931,99061
77,hybrid,suv,56948,74274,92501
77,phev,car,51150.5,69943,86481.5
78,bev,car,34031.5,44545,57243
78,bev,suv,69622,72619,73622.5
78,conventional,car,57911.75,76820,96714.5
78,conventional,pickup,62888.75,82761,104830
78,conventional,suv,62489.75,80445,98864.25
78,hybrid,car,58156,76992,98092
78,hybrid,suv,56615,75890,96994
78,phev,car,53407.75,70804,89443.5
79,bev,car,33392,45000,57412
79,bev,suv,42327,45558,61151.5
79,conventional,car,58235,77444,97211.75
79,conventional,pickup,63863.5,83984,105500
79,conventional,suv,63271.5,81359.5,99891
79,hybrid,car,58241,77420,98850
79,hybrid,suv,58179.5,77126.5,95620.5
79,phev,car,52580.5,68508,89567
80,bev,car,34324.25,45598,59218
80,bev,suv,51559,55964,71109.5
80,conventional,car,58853.5,78075,98721.75
80,conventional,pickup,64951,84965,106768
80,conventional,suv,64506,82765,101443
80,hybrid,car,58901,78231.5,100541.25
80,hybrid,suv,60728.25,76737.5,97036.5
80,phev,car,56669,74409,93688.5
81,bev,car,34625,46516,59992.75
81,bev,suv,9559,25436.5,47409.5
81,conventional,car,59759.5,79138,99357
81,conventional,pickup,65088,85199,107919.5
81,conventional,suv,65085.25,83566,102529
81,hybrid,car,60858.5,81738,102568
81,hybrid,suv,60826,78590,97957
81,phev,car,54135,72008.5,92808
82,bev,car,35864,47371,61299.5
82,bev,suv,38221.75,60310.5,68176
82,conventional,car,60000,79753,100061.75
82,conventional,pickup,65749.75,86573.5,109493.5
82,conventional,suv,65979,84400,103476.5
82,hybrid,car,60816.5,79284,101005
82,hybrid,suv,59742,81322,99864
82,phev,car,55998.5,73222.5,91741.5
83,bev,car,36013.5,48082,60188
83,bev,suv,43748,62300,86775.5
83,conventional,car,60496.75,80200.5,100781.25
83,conventional,pickup,66617.5,87295.5,110155.25
83,conventional,suv,66521.5,85111,104294
83,hybrid,car,59908.25,79567,102048.5
83,hybrid,suv,65667.25,82930.5,105880.25
83,phev,car,53476.75,73566.5,94121.25
84,bev,car,36888,48421,63532
84,bev,suv,55594.5,58205,67941.5
84,conventional,car,61476,81067,101847
84,conventional,pickup,67558,88268,111202
84,conventional,suv,66860.25,85512.5,104804.75
84,hybrid,car,61128,81000,103818
84,hybrid,suv,60861.75,80850,98302.25
84,phev,car,54135.5,75285.5,93986
85,bev,car,37683,50359,62637
85,bev,suv,44583.25,60626.5,65261.5
85,conventional,car,62670.5,82146,102601.5
85,conventional,pickup,68808,89694,113164
85,conventional,suv,68264,86979,106552
85,hybrid,car,63000,82000,103480
85,hybrid,suv,60471,83236,100691
85,phev,car,56122.5,75610.5,92907.5
86,bev,car,38722,50152,65000
86,bev,suv,41225,45441,52036
86,conventional,car,63960,84000,104698.5
86,conventional,pickup,69764.25,90542,114098
86,conventional,suv,69962,88882,108273
86,hybrid,car,64099.25,84087.5,106803.5
86,hybrid,suv,65789.5,84750,107800.5
86,phev,car,52953.75,72484.5,93507
87,bev,car,38358,50000,62834
87,bev,suv,40092,56715,62145
87,conventional,car,63857.75,84070.5,105564
87,conventional,pickup,70757.5,91812,115727
87,conventional,suv,70227,89394,109293.5
87,hybrid,car,63155,83274,107631.75
87,hybrid,suv,61652.5,84614,103397
87,phev,car,53045,72902,90697.5
88,bev,car,38379,50015,63801
88,bev,suv,24925,43670,60427
88,conventional,car,65541.75,85350,106477.25
88,conventional,pickup,71101,92062,115778
88,conventional,suv,70838,89801,109854
88,hybrid,car,64024.75,85805.5,109199
88,hybrid,suv,62730.5,84250,100725.5
88,phev,car,59513,78282,96088
89,bev,car,39242.5,53048,65543.5
89,bev,suv,28669,60284,69814
89,conventional,car,65787,85950,107263
