age_months,powertrain,vehicle_type,miles25,miles50,miles75,vehicle,age_years,category
65,hybrid,car,48021.5,65000,84929,hybrid_car,5.416666666666667,other
66,hybrid,car,49360,66966,86878,hybrid_car,5.5,other
67,hybrid,car,49294.5,67597,87444.5,hybrid_car,5.583333333333333,other
68,hybrid,car,50555,68482,88919.5,hybrid_car,5.666666666666667,other
69,hybrid,car,51624,69184,89438,hybrid_car,5.75,other
70,hybrid,car,51412,70964,90476.5,hybrid_car,5.833333333333333,other
71,hybrid,car,50616,69510,89932,hybrid_car,5.916666666666667,other
72,hybrid,car,53198,71371.5,91550.5,hybrid_car,6,other
73,hybrid,car,53976.75,72482.5,92371.25,hybrid_car,6.083333333333333,other
74,hybrid,car,54299,73843,94869,hybrid_car,6.166666666666667,other
75,hybrid,car,54908,74049,94711,hybrid_car,6.25,other
76,hybrid,car,56000,75709.5,96988.25,hybrid_car,6.333333333333333,other
77,hybrid,car,57292,76931,99061,hybrid_car,6.416666666666667,other
78,hybrid,car,58156,76992,98092,hybrid_car,6.5,other
79,hybrid,car,58241,77420,98850,hybrid_car,6.583333333333333,other
80,hybrid,car,58901,78231.5,100541.25,hybrid_car,6.666666666666667,other
81,hybrid,car,60858.5,81738,102568,hybrid_car,6.75,other
82,hybrid,car,60816.5,79284,101005,hybrid_car,6.833333333333333,other
83,hybrid,car,59908.25,79567,102048.5,hybrid_car,6.916666666666667,other
84,hybrid,car,61128,81000,103818,hybrid_car,7,other
85,hybrid,car,63000,82000,103480,hybrid_car,7.083333333333333,other
86,hybrid,car,64099.25,84087.5,106803.5,hybrid_car,7.166666666666667,other
87,hybrid,car,63155,83274,107631.75,hybrid_car,7.25,other
88,hybrid,car,64024.75,85805.5,109199,hybrid_car,7.333333333333333,other
89,hybrid,car,65646,85823,110873.5,hybrid_car,7.416666666666667,other
90,hybrid,car,63498,84725,108900.75,hybrid_car,7.5,other
91,hybrid,car,65597,87415,111340,hybrid_car,7.583333333333333,other
92,hybrid,car,64781.5,87174,112492.5,hybrid_car,7.666666666666667,other
93,hybrid,car,64457.5,87119.5,112227.5,hybrid_car,7.75,other
94,hybrid,car,64967,88820,114974,hybrid_car,7.833333333333333,other
95,hybrid,car,66673.25,90384.5,116296.75,hybrid_car,7.916666666666667,other
96,hybrid,car,67000,89698,115990.5,hybrid_car,8,other
97,hybrid,car,70673,90596,115180,hybrid_car,8.083333333333334,other
98,hybrid,car,70691,93172,119564,hybrid_car,8.166666666666666,other
99,hybrid,car,70649.5,92942,118629.5,hybrid_car,8.25,other
100,hybrid,car,69830.75,94045.5,120512,hybrid_car,8.333333333333334,other
101,hybrid,car,71523,95341,121040,hybrid_car,8.416666666666666,other
102,hybrid,car,73374,96160,123302,hybrid_car,8.5,other
103,hybrid,car,70947,96001,123243,hybrid_car,8.583333333333334,other
104,hybrid,car,65747.25,93478,122672.75,hybrid_car,8.666666666666666,other
105,hybrid,car,75497,98533,127971,hybrid_car,8.75,other
106,hybrid,car,73491.5,97000,121638.5,hybrid_car,8.833333333333334,other
107,hybrid,car,72973,98286,124523.25,hybrid_car,8.916666666666666,other
108,hybrid,car,74926.5,96641,121551,hybrid_car,9,other
24,phev,car,11602.25,18863,28676.25,phev_car,2,other
25,phev,car,11890,19493.5,29000,phev_car,2.0833333333333335,other
26,phev,car,12847,20657,30196,phev_car,2.1666666666666665,other
27,phev,car,13832,22494,31284,phev_car,2.25,other
28,phev,car,15285.75,23677.5,33597.25,phev_car,2.3333333333333335,other
29,phev,car,17072.5,25400,34410,phev_car,2.4166666666666665,other
30,phev,car,17611,26438,35297,phev_car,2.5,other
31,phev,car,19345,27728,36000,phev_car,2.5833333333333335,other
32,phev,car,20660,28380,36575,phev_car,2.6666666666666665,other
33,phev,car,20468.5,28898.5,37497,phev_car,2.75,other
34,phev,car,21296,30170,38499,phev_car,2.8333333333333335,other
35,phev,car,22083.25,30025.5,38330.75,phev_car,2.9166666666666665,other
36,phev,car,23257,31162,39630.5,phev_car,3,other
