quantile,dvmt,powertrain,vehicle_type
59,20.339218519021628,bev_all,car
60,20.582110085856186,bev_all,car
61,20.811428268111662,bev_all,car
62,21.069174511144226,bev_all,car
63,21.317050499130303,bev_all,car
64,21.569180217061383,bev_all,car
65,21.826854042295476,bev_all,car
66,22.088387970476518,bev_all,car
67,22.36001315447858,bev_all,car
68,22.6335173335057,bev_all,car
69,22.913224539769995,bev_all,car
70,23.202394821169374,bev_all,car
71,23.485754394890286,bev_all,car
72,23.792171125871068,bev_all,car
73,24.105384494169556,bev_all,car
74,24.42539031380042,bev_all,car
75,24.75365344467641,bev_all,car
76,25.092338804298123,bev_all,car
77,25.43409474309903,bev_all,car
78,25.797912577650813,bev_all,car
79,26.17980820745591,bev_all,car
80,26.57649665681855,bev_all,car
81,27.001416563478188,bev_all,car
82,27.438363712217743,bev_all,car
83,27.89582248115147,bev_all,car
84,28.38884419232978,bev_all,car
85,28.88910782703886,bev_all,car
86,29.423042906178487,bev_all,car
87,30.007197511146007,bev_all,car
88,30.639988692579507,bev_all,car
89,31.333874179976853,bev_all,car
90,32.075771226788056,bev_all,car
91,32.873812092490176,bev_all,car
92,33.80928661850365,bev_all,car
93,34.887938268627934,bev_all,car
94,36.07658173501048,bev_all,car
95,37.65903883923197,bev_all,car
96,39.61682741375351,bev_all,car
97,42.19192577753468,bev_all,car
98,46.18849415938682,bev_all,car
99,53.618016519445526,bev_all,car
1,0.2983116883116883,bev_all,suv
2,0.9005482902257096,bev_all,suv
3,1.6634227934227932,bev_all,suv
4,2.2628360838311226,bev_all,suv
5,2.900642201834862,bev_all,suv
6,3.4911515151515147,bev_all,suv
7,4.041012562544425,bev_all,suv
8,4.637495667809835,bev_all,suv
9,5.121030997304582,bev_all,suv
10,5.617027699168167,bev_all,suv
11,6.020081296435878,bev_all,suv
12,6.4734420343736065,bev_all,suv
13,6.955665828619318,bev_all,suv
14,7.340915857605178,bev_all,suv
15,7.6973182319695574,bev_all,suv
16,8.098535894843277,bev_all,suv
17,8.471665597819552,bev_all,suv
18,8.855276427709622,bev_all,suv
19,9.243890055103648,bev_all,suv
20,9.583338095382839,bev_all,suv
21,9.970685336780972,bev_all,suv
22,10.296630646953128,bev_all,suv
23,10.69759439610186,bev_all,suv
24,11.070513222900317,bev_all,suv
25,11.43479617753089,bev_all,suv
26,11.735828409601869,bev_all,suv
27,12.086847179656736,bev_all,suv
28,12.404585179403595,bev_all,suv
29,12.763062203737466,bev_all,suv
30,13.133581040186165,bev_all,suv
31,13.43950843373494,bev_all,suv
32,13.76461163633744,bev_all,suv
33,14.069573132188882,bev_all,suv
34,14.38017997927648,bev_all,suv
35,14.711992914182566,bev_all,suv
36,15.013635274618881,bev_all,suv
37,15.319756252706394,bev_all,suv
38,15.618519027214166,bev_all,suv
39,15.95437104423406,bev_all,suv
40,16.2465927066783,bev_all,suv
41,16.54962324966975,bev_all,suv
42,16.831942000993706,bev_all,suv
43,17.112418816226985,bev_all,suv
44,17.418266877616006,bev_all,suv
45,17.703328788911612,bev_all,suv
46,17.9864036817883,bev_all,suv
47,18.258093117408908,bev_all,suv
48,18.5592225772098,bev_all,suv
49,18.866018320820388,bev_all,suv
50,19.166807790008466,bev_all,suv
51,19.48323371892132,bev_all,suv
52,19.824850032237265,bev_all,suv
53,20.128808184143224,bev_all,suv
54,20.456950036934007,bev_all,suv
55,20.79380434467357,bev_all,suv
56,21.13930802577849,bev_all,suv
57,21.490695213990918,bev_all,suv
58,21.81052109334073,bev_all,suv
59,22.140352914755045,bev_all,suv
60,22.42516826598189,bev_all,suv
61,22.762691470956028,bev_all,suv
62,23.11198661245745,bev_all,suv
63,23.47055174318554,bev_all,suv
64,23.80245864372655,bev_all,suv
65,24.083848792602492,bev_all,suv
66,24.478425948008585,bev_all,suv
67,24.809872489507097,bev_all,suv
