age_months,powertrain,vehicle_type,quantile,mileage,age_years
1,hybrid,suv,99,83479.68000000005,0.08333333333333333
1,phev,car,1,1,0.08333333333333333
1,phev,car,5,4,0.08333333333333333
1,phev,car,10,11,0.08333333333333333
1,phev,car,15,421,0.08333333333333333
1,phev,car,20,1339,0.08333333333333333
1,phev,car,25,2015,0.08333333333333333
1,phev,car,30,2078,0.08333333333333333
1,phev,car,35,2256,0.08333333333333333
1,phev,car,40,2522,0.08333333333333333
1,phev,car,45,2950,0.08333333333333333
1,phev,car,50,3318,0.08333333333333333
1,phev,car,55,3928,0.08333333333333333
1,phev,car,60,4619,0.08333333333333333
1,phev,car,65,5510,0.08333333333333333
1,phev,car,70,6696,0.08333333333333333
1,phev,car,75,7430,0.08333333333333333
1,phev,car,80,8134,0.08333333333333333
1,phev,car,85,9214,0.08333333333333333
1,phev,car,90,11007,0.08333333333333333
1,phev,car,95,12786,0.08333333333333333
1,phev,car,99,16282,0.08333333333333333
2,bev,car,1,0.9199999999999999,0.16666666666666666
2,bev,car,5,4,0.16666666666666666
2,bev,car,10,4,0.16666666666666666
2,bev,car,15,5,0.16666666666666666
2,bev,car,20,5.200000000000001,0.16666666666666666
2,bev,car,25,6,0.16666666666666666
2,bev,car,30,6,0.16666666666666666
2,bev,car,35,8,0.16666666666666666
2,bev,car,40,10.600000000000009,0.16666666666666666
2,bev,car,45,27.299999999999986,0.16666666666666666
2,bev,car,50,231,0.16666666666666666
2,bev,car,55,309.30000000000007,0.16666666666666666
2,bev,car,60,507.9999999999996,0.16666666666666666
2,bev,car,65,1130.4000000000012,0.16666666666666666
2,bev,car,70,1578.3999999999996,0.16666666666666666
2,bev,car,75,1896,0.16666666666666666
2,bev,car,80,2415.800000000002,0.16666666666666666
2,bev,car,85,2789.1000000000004,0.16666666666666666
2,bev,car,90,3207.7999999999997,0.16666666666666666
2,bev,car,95,5266.899999999989,0.16666666666666666
2,bev,car,99,48729.65999999997,0.16666666666666666
2,bev,suv,1,4.920000000000001,0.16666666666666666
2,bev,suv,5,9,0.16666666666666666
2,bev,suv,10,12.600000000000001,0.16666666666666666
2,bev,suv,15,15,0.16666666666666666
2,bev,suv,20,15,0.16666666666666666
2,bev,suv,25,18,0.16666666666666666
2,bev,suv,30,49.599999999999994,0.16666666666666666
2,bev,suv,35,85.99999999999991,0.16666666666666666
2,bev,suv,40,282.0000000000001,0.16666666666666666
2,bev,suv,45,376.6,0.16666666666666666
2,bev,suv,50,772,0.16666666666666666
2,bev,suv,55,1131.6000000000001,0.16666666666666666
2,bev,suv,60,1507.1999999999998,0.16666666666666666
2,bev,suv,65,2039.2000000000003,0.16666666666666666
2,bev,suv,70,2236.7999999999997,0.16666666666666666
2,bev,suv,75,2765,0.16666666666666666
2,bev,suv,80,3086.4000000000005,0.16666666666666666
2,bev,suv,85,3330,0.16666666666666666
2,bev,suv,90,3682.0000000000005,0.16666666666666666
2,bev,suv,95,4450.5999999999985,0.16666666666666666
2,bev,suv,99,5056.92,0.16666666666666666
2,conventional,car,1,0,0.16666666666666666
2,conventional,car,5,3,0.16666666666666666
2,conventional,car,10,6,0.16666666666666666
2,conventional,car,15,10,0.16666666666666666
2,conventional,car,20,21,0.16666666666666666
2,conventional,car,25,223.75,0.16666666666666666
2,conventional,car,30,652,0.16666666666666666
2,conventional,car,35,1170.3499999999995,0.16666666666666666
2,conventional,car,40,1820,0.16666666666666666
2,conventional,car,45,2292.1500000000005,0.16666666666666666
2,conventional,car,50,2901.5,0.16666666666666666
2,conventional,car,55,3443.8500000000004,0.16666666666666666
2,conventional,car,60,4014.199999999999,0.16666666666666666
2,conventional,car,65,4503,0.16666666666666666
2,conventional,car,70,5097.9,0.16666666666666666
2,conventional,car,75,6242.5,0.16666666666666666
2,conventional,car,80,8122.6,0.16666666666666666
2,conventional,car,85,11221.749999999995,0.16666666666666666
2,conventional,car,90,16046.600000000002,0.16666666666666666
2,conventional,car,95,20156.65,0.16666666666666666
2,conventional,car,99,31454.43000000001,0.16666666666666666
2,conventional,pickup,1,0,0.16666666666666666
2,conventional,pickup,5,2,0.16666666666666666
2,conventional,pickup,10,5,0.16666666666666666
2,conventional,pickup,15,10,0.16666666666666666
2,conventional,pickup,20,14,0.16666666666666666
2,conventional,pickup,25,36,0.16666666666666666
2,conventional,pickup,30,147.29999999999995,0.16666666666666666
2,conventional,pickup,35,333,0.16666666666666666
2,conventional,pickup,40,589.4000000000001,0.16666666666666666
2,conventional,pickup,45,931,0.16666666666666666
2,conventional,pickup,50,1333,0.16666666666666666
2,conventional,pickup,55,1806.250000000001,0.16666666666666666
2,conventional,pickup,60,2217.6,0.16666666666666666
2,conventional,pickup,65,2670.3,0.16666666666666666
2,conventional,pickup,70,3133,0.16666666666666666
2,conventional,pickup,75,3750.5,0.16666666666666666
2,conventional,pickup,80,4624.200000000001,0.16666666666666666
2,conventional,pickup,85,5824.799999999996,0.16666666666666666
2,conventional,pickup,90,8061.100000000005,0.16666666666666666
2,conventional,pickup,95,12408.649999999998,0.16666666666666666
2,conventional,pickup,99,32834.159999999814,0.16666666666666666
2,conventional,suv,1,0,0.16666666666666666
2,conventional,suv,5,2,0.16666666666666666
2,conventional,suv,10,5,0.16666666666666666
2,conventional,suv,15,10,0.16666666666666666
2,conventional,suv,20,17,0.16666666666666666
2,conventional,suv,25,144,0.16666666666666666
2,conventional,suv,30,488,0.16666666666666666
2,conventional,suv,35,1012.9999999999991,0.16666666666666666
2,conventional,suv,40,1747,0.16666666666666666
2,conventional,suv,45,2269,0.16666666666666666
2,conventional,suv,50,2876,0.16666666666666666
2,conventional,suv,55,3509.0000000000036,0.16666666666666666
2,conventional,suv,60,4355,0.16666666666666666
2,conventional,suv,65,5438,0.16666666666666666
2,conventional,suv,70,7177.999999999998,0.16666666666666666
2,conventional,suv,75,10183,0.16666666666666666
2,conventional,suv,80,12533,0.16666666666666666
2,conventional,suv,85,14536,0.16666666666666666
2,conventional,suv,90,16862,0.16666666666666666
2,conventional,suv,95,20300,0.16666666666666666
2,conventional,suv,99,29780,0.16666666666666666
2,hybrid,car,1,1,0.16666666666666666
2,hybrid,car,5,3.5500000000000007,0.16666666666666666
2,hybrid,car,10,6,0.16666666666666666
2,hybrid,car,15,10,0.16666666666666666
2,hybrid,car,20,21.200000000000003,0.16666666666666666
2,hybrid,car,25,140,0.16666666666666666
2,hybrid,car,30,426.2999999999998,0.16666666666666666
2,hybrid,car,35,1398.25,0.16666666666666666
2,hybrid,car,40,2019,0.16666666666666666
2,hybrid,car,45,2071.9,0.16666666666666666
2,hybrid,car,50,2149.5,0.16666666666666666
2,hybrid,car,55,2329.1000000000004,0.16666666666666666
2,hybrid,car,60,2623.5999999999995,0.16666666666666666
2,hybrid,car,65,2915.45,0.16666666666666666
2,hybrid,car,70,3530.7,0.16666666666666666
2,hybrid,car,75,4441.75,0.16666666666666666
2,hybrid,car,80,5295,0.16666666666666666
2,hybrid,car,85,6712.249999999994,0.16666666666666666
2,hybrid,car,90,9664.2,0.16666666666666666
2,hybrid,car,95,18055.349999999984,0.16666666666666666
2,hybrid,car,99,74932.01999999999,0.16666666666666666
2,hybrid,suv,1,1,0.16666666666666666
2,hybrid,suv,5,2.8000000000000007,0.16666666666666666
2,hybrid,suv,10,5,0.16666666666666666
2,hybrid,suv,15,6,0.16666666666666666
2,hybrid,suv,20,7.600000000000001,0.16666666666666666
2,hybrid,suv,25,12,0.16666666666666666
2,hybrid,suv,30,40,0.16666666666666666
2,hybrid,suv,35,89.79999999999991,0.16666666666666666
2,hybrid,suv,40,198.60000000000002,0.16666666666666666
2,hybrid,suv,45,417.0000000000001,0.16666666666666666
2,hybrid,suv,50,791,0.16666666666666666
2,hybrid,suv,55,1532.8000000000009,0.16666666666666666
2,hybrid,suv,60,2026.3999999999996,0.16666666666666666
2,hybrid,suv,65,2522.4,0.16666666666666666
2,hybrid,suv,70,3022.5999999999995,0.16666666666666666
2,hybrid,suv,75,4267,0.16666666666666666
2,hybrid,suv,80,4799.6,0.16666666666666666
2,hybrid,suv,85,5529.799999999999,0.16666666666666666
2,hybrid,suv,90,6949.4000000000015,0.16666666666666666
2,hybrid,suv,95,10933.999999999998,0.16666666666666666
2,hybrid,suv,99,69402.12000000007,0.16666666666666666
2,phev,car,1,2,0.16666666666666666
2,phev,car,5,5,0.16666666666666666
2,phev,car,10,34.60000000000001,0.16666666666666666
2,phev,car,15,514.8999999999994,0.16666666666666666
2,phev,car,20,1537.8000000000002,0.16666666666666666
2,phev,car,25,2014,0.16666666666666666
2,phev,car,30,2108.8,0.16666666666666666
2,phev,car,35,2266,0.16666666666666666
2,phev,car,40,2454.8,0.16666666666666666
2,phev,car,45,2776,0.16666666666666666
2,phev,car,50,3276,0.16666666666666666
2,phev,car,55,3883.3000000000025,0.16666666666666666
2,phev,car,60,4963.199999999999,0.16666666666666666
2,phev,car,65,6072.800000000001,0.16666666666666666
2,phev,car,70,6900.999999999998,0.16666666666666666
2,phev,car,75,8057,0.16666666666666666
2,phev,car,80,9481.800000000003,0.16666666666666666
2,phev,car,85,10454,0.16666666666666666
2,phev,car,90,11722.800000000003,0.16666666666666666
2,phev,car,95,16224.699999999964,0.16666666666666666
2,phev,car,99,40885.14,0.16666666666666666
3,bev,car,1,2,0.25
3,bev,car,5,5,0.25
3,bev,car,10,6,0.25
3,bev,car,15,6.549999999999999,0.25
3,bev,car,20,10,0.25
3,bev,car,25,10,0.25
3,bev,car,30,11.099999999999998,0.25
3,bev,car,35,37.249999999999936,0.25
3,bev,car,40,45.800000000000004,0.25
3,bev,car,45,73.09999999999998,0.25
3,bev,car,50,122.5,0.25
3,bev,car,55,350.45000000000005,0.25
3,bev,car,60,402.39999999999986,0.25
3,bev,car,65,553.2000000000003,0.25
3,bev,car,70,750.3999999999996,0.25
3,bev,car,75,1016.75,0.25
3,bev,car,80,1291.4,0.25
3,bev,car,85,2277.4000000000005,0.25
3,bev,car,90,3167.9999999999977,0.25
3,bev,car,95,7737.95,0.25
3,bev,car,99,65659.26000000004,0.25
3,bev,suv,1,3.84,0.25
3,bev,suv,5,12.4,0.25
3,bev,suv,10,14.8,0.25
3,bev,suv,15,19.2,0.25
3,bev,suv,20,40.80000000000003,0.25
3,bev,suv,25,98,0.25
3,bev,suv,30,256.4,0.25
3,bev,suv,35,350.39999999999986,0.25
3,bev,suv,40,455.4,0.25
3,bev,suv,45,662.0000000000002,0.25
