term,estimate,std.error,statistic,p.value
stateAR,11.257338251688962,0.20197142589372605,55.73728165692301,0
stateAZ,4.653675954191637,0.1934288678734868,24.05884915397116,6.79496357382229e-128
stateCA,4.1866287080218,0.19087884609832856,21.93343470792524,1.2529431190506507e-106
stateCO,4.474120418385038,0.1934273319827069,23.130755992565934,2.2855970884906138e-118
stateCT,2.6948410275695056,0.19562849645610528,13.775298979380382,3.591823637858796e-43
stateDC,-9.861479299768929,7.548630856068897,-1.306393104630433,0.1914189360459998
stateDE,1.8663012241771728,0.21998948814846184,8.483592738384313,2.183706779757849e-17
stateFL,3.5640075122952215,0.19030931030120668,18.72744694757387,2.9657157991667067e-78
stateGA,6.235908742895366,0.19156941097404773,32.55169346289923,2.0311799003617317e-232
stateHI,-5.240788269562476,0.2387631346956549,-21.94973807930094,8.75507722588628e-107
stateIA,7.15692650360919,0.19671790489214708,36.38167307410609,8.62529219079168e-290
stateID,5.093112636485734,0.20987849742181347,24.266957782957654,4.412842763785588e-130
stateIL,4.0088544984979455,0.19129269652544414,20.956652142570018,1.638664600219799e-97
stateIN,6.793702595804021,0.19267631323487497,35.25966675271811,2.524158659365878e-272
stateKS,6.924493088306545,0.19955515018934908,34.69964609651116,8.235259904155669e-264
stateKY,9.523990314505433,0.19557432154618365,48.69755006286141,0
stateLA,9.5975129538657,0.20044573555108405,47.880853775608266,0
stateMA,2.038558358245218,0.19211568015867392,10.611098253726679,2.64695474430379e-26
stateMD,3.362113743324955,0.19298584840031993,17.42155588709675,5.67323283466257e-68
stateME,5.967014524224691,0.20724892522128674,28.79153422799904,2.779810994293484e-182
stateMI,6.935265459575114,0.1917200760240872,36.17391356919651,1.6262184199858256e-286
stateMN,6.209549825216851,0.19316178001330506,32.146886536193314,9.996028317896606e-227
stateMO,8.378649721559713,0.1936219129495805,43.27325143069694,0
stateMS,12.731692079357106,0.20464791803864935,62.212663590120805,0
stateMT,5.18716274772912,0.2232588159570578,23.233854060781336,2.0851570550957822e-119
stateNC,7.682165413096317,0.191720758297878,40.06955470706244,0
stateND,4.637654777454976,0.22144554127210495,20.94264237976406,2.1990722391722168e-97
stateNE,5.517255076960712,0.20244567521835774,27.253015264513827,1.549376336365201e-163
stateNH,5.185060287742611,0.20013667559900594,25.907596757185093,5.523233669314382e-148
stateNJ,1.6105124711939323,0.19173572760389435,8.399647219223953,4.4787251777590166e-17
stateNM,6.90536559138376,0.21516744360310125,32.09298523860992,5.654355481366452e-226
stateNV,2.9479326008107694,0.20414779872949398,14.440188036104798,2.893324835250305e-47
stateNY,-0.47157019860871185,0.1901486285586105,-2.4800084133310345,0.01313794268391814
stateOH,5.329332683184298,0.19091309663841147,27.914966427253706,1.7799224534960644e-171
stateOK,11.696320449765917,0.19743262785635154,59.24208463798573,0
stateOR,4.160285296535413,0.19525315201926574,21.307135139743686,9.792655478145193e-101
statePA,0.5939046921730213,0.19018620434529782,3.1227537991911403,0.0017916800550294284
stateRI,2.853637216002328,0.2184633485370873,13.062315647504972,5.4093185901896604e-39
stateSC,8.677026011742173,0.19620989839971684,44.22318181963187,0
stateSD,6.317415740062287,0.2150087189648411,29.382137480179722,9.443341925940588e-190
stateTN,9.731247869172044,0.19328283821420555,50.347190464925795,0
stateTX,8.167594140795513,0.19084506346253596,42.796989309597,0
stateUT,5.834180159828267,0.19823680775343147,29.430357691619342,2.2837223862148804e-190
stateVA,5.730475109463429,0.19240758525584292,29.782999988506997,6.600129755265317e-195
stateVT,4.512264107268576,0.22265643207223312,20.265590646870375,2.5980568556751283e-91
stateWA,3.579844627523064,0.19434079634751986,18.42044848432952,9.02846089221527e-76
stateWI,5.052143741312538,0.19285832544890005,26.196140247267465,2.9713876528340968e-151
stateWV,6.065324168162859,0.20716247938172153,29.27810183709366,2.0033576870012135e-188
stateWY,5.132426473883782,0.2611203860210117,19.655403211110407,5.2146603760420046e-86
my2011,18.48497072555667,1.6022372799550144,11.536974552280839,8.592745404833803e-31
my2012,17.273536503045328,1.6034324528590151,10.772849503105409,4.626023394748623e-27
my2013,15.139032902321583,1.6046376808988307,9.434549046512183,3.927498683623175e-21
my2014,13.96256954912878,1.6056062911587077,8.696135301670063,3.4342343210156438e-18
my2015,13.288965696534548,1.6065843642066144,8.271564190839793,1.3222686208363604e-16
my2016,12.653556381722273,1.6064424599837974,7.876756682495741,3.3601773658791344e-15
my2017,11.462582579938204,1.6061392008507127,7.136730473838691,9.558267318242414e-13
my2018,9.44554602631845,1.606333951826282,5.880188248265292,4.098115749938838e-9
