term,estimate,std.error,statistic,p.value
stateNM,7.181832604653229,3.0787707934021253,2.332694794962995,0.01966570171492186
stateNV,9.10769441117316,2.9349474099640864,3.103188282097568,0.0019148922973850767
stateNY,7.520930649766489,2.8765428468481833,2.614572787611053,0.008934952496381557
stateOH,8.413103256390563,2.913069595251264,2.888054329393699,0.0038769745786991334
stateOK,8.914380296267959,3.0101928367020996,2.961398415270417,0.0030630135951349572
stateOR,6.86241837792664,2.9110002516123257,2.3574090638177476,0.018404449507197045
statePA,5.783331136243969,2.9019564305700394,1.9929076382128637,0.046273668471188405
stateRI,6.458746611462535,3.135967366069296,2.0595707344869782,0.039441601819324754
stateSC,10.084418476582938,2.9774300787305044,3.386953919966665,7.069438318643272e-4
stateSD,2.5085281506682877,3.445745770575124,0.7280073219823159,0.4666104278683779
stateTN,9.543783291663086,2.957158484681299,3.2273492750225885,0.0012497408366391747
stateTX,8.186970203951102,2.923037453139395,2.8008434155224897,0.0050976839724420075
stateUT,9.103864583829543,2.937988686247963,3.0986724443298916,0.0019443165022322245
stateVA,7.645335181218161,2.920491235439891,2.6178250728653887,0.008850250564202782
stateVT,11.98785930818725,3.0564521767047763,3.9221484960748207,8.780833215450144e-5
stateWA,5.010566103723539,2.913843026987668,1.7195731057974883,0.08551247123800014
stateWI,9.450065685594286,2.916240872957156,3.240495589108054,0.0011935240122790233
stateWV,10.187004637310379,3.688835135647625,2.7615776424559324,0.005753098491064338
stateWY,3.194038545260984,4.069689325737143,0.7848359640283961,0.4325511947726396
my2013,0.6887979143316293,0.28124002843708423,2.449146084074299,0.014320858754077114
my2014,0.13952598742136704,0.3020657264134516,0.46190605295746545,0.6441494734264173
my2015,0.11231902536613421,0.33896362755044546,0.33136011134238463,0.7403730302658553
my2016,3.029491906484449,0.39706125120465513,7.6297848185719195,2.3675060898843734e-14
my2017,2.2338503692363703,0.41824272440633464,5.341038203132307,9.257198343118625e-8
my2018,-3.0230480811387395,0.4385289530853508,-6.893611151258157,5.464251008438962e-12
my2019,-0.978664997477585,0.5264893813865191,-1.85885040055367,0.06305062577376734
my2020,2.310100205319292,0.9968566904874073,2.3173844619428516,0.020484357803037204
age_years:cents_per_mile,0.5220172311800477,0.038797433950685155,13.454942196527124,3.070787000821553e-41
age_years:range,-0.1820255319343998,0.010800897957830444,-16.852814705321308,1.1709925768335095e-63
age_years:modelprius plug-in,-0.7219067220142912,0.2735757637845295,-2.638781710878712,0.00832145495395377
age_years:modeli8,-9.179340386936184,0.3376355617439106,-27.187125489756674,2.6603259869555424e-162
age_years:modelfusion energi,-0.5370645688306989,0.24211982618492542,-2.2181767486504866,0.026544521092029247
age_years:modelsonata plug-in hybrid,-0.307355924227247,0.5946409186447393,-0.5168765125140554,0.6052432521619584
age_years:modelelr,-0.7381753614742319,0.3683065973422375,-2.0042414846788783,0.04504628877522552
age_years:modelvolt,2.107783566292003,0.2884145819653147,7.308172672578285,2.723590695603478e-13
